schema_name,component_name,model_id,component_type,component_type_value,component_expr,criteria_count
PO&IPVsBill,BillTaxPercentage,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""LinkRef\""}",1
PO&IPVsBill,RefTaxPercentage,MATH,ROWWISE-MINVALUE,COST,POorIPTaxPercentage <> BillTaxPercentage,1
PO&IPVsBill,DiffTaxPercentage,MATH,MATH,COST,RefTaxPercentage - BillTaxPercentage,1
PO&IPVsBill,POorIPBaseValue,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""LinkRef\"",\""ItemID\"":\""ItemID\""}",1
PO&IPVsBill,BillBasevalue,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""LinkRef\""}",1
PO&IPVsBill,RefBasevalue,MATH,ROWWISE-MINVALUE,COST,POorIPBaseValue <> BillBasevalue,1
PO&IPVsBill,DiffBasevalue,MATH,MATH,COST,RefBasevalue - BillBasevalue,1
PO&IPVsBill,POorIPTaxValue,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""LinkRef\"",\""ItemID\"":\""ItemID\""}",1
PO&IPVsBill,BillTaxValue,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""LinkRef\""}",1
PO&IPVsBill,RefTaxValue,MATH,ROWWISE-MINVALUE,COST,POorIPTaxValue <> BillTaxValue,1
PO&IPVsBill,DiffTaxValue,MATH,MATH,COST,RefTaxValue - BillTaxValue,1
PO&IPVsBill,POorIPDocumentValue,PO&IP_Status,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""LinkRef\"",\""ItemID\"":\""ItemID\""}",1
PO&IPVsBill,BillDocumentValue,Bill_Item,SUMFROMSCHEMA,COST,"{\""documentnumber\"":\""documentnumber\"",\""ItemID\"":\""ItemID\"",\""LinkRef\"":\""LinkRef\""}",1
PO&IPVsBill,RefDocumentValue,MATH,ROWWISE-MINVALUE,COST,POorIPDocumentValue <> BillDocumentValue,1
PO&IPVsBill,DiffDocumentValue,MATH,MATH,COST,RefDocumentValue - BillDocumentValue,1
